1000028,Sun Mar 03 11:32:53 +0000 2019,"Prime Minister Narendra Modi launches several development projects in Amethi.
#Amethirally"
1000029,Sun Mar 03 01:08:02 +0000 2019,What Narendra Modi says about ‘pilot projects’ – and what it says about his record on terrorism https://t.co/X9tClQzWOY https://t.co/irYrP1lyaP
1000030,Wed Feb 27 13:27:50 +0000 2019,"@BDUTT FYI

Once PM was informed he left asap

“PM Modi was replying to questions from youngsters during Youth Festival when he was handed over a small piece of paper by official of PMO

PM waived at audience and immediately left dais and rushed to his office”

https://t.co/rOTwDdCc52"
1000031,Sun Mar 03 11:35:15 +0000 2019,"The BJP should relentlessly take credit for the political will power it displayed for- #SurgicalStrike, #AirStrike downing an F16 fighter plane and getting #AbhinandanVarthaman back in 48 hrs flat. Yes, the armed forces belong to India and Narendra Modi is the Prime Minister. https://t.co/R9C0b0Jgzl"
1000032,Mon Mar 04 04:40:33 +0000 2019,"India under Narendra Modi has shown great respect to Lord Shiva, the Ganga, the Kumbh Mela and Shiva's abodes like Varanasi. Lord Shiva remains the eternal Yogi of India from ancient times to the New India/Bharat today! #MahaShivaratri"
1000033,Fri Mar 01 09:21:44 +0000 2019,"""Not Ashamed To Visit Andhra With Empty Hands"": Chandrababu Naidu Jabs PM - NDTV https://t.co/I1QgAxBhFG"
1000034,Sun Mar 03 13:32:19 +0000 2019,"@ReallySwara @SadhguruJV You speak about Narendra Modi, we will bear it. But do not speak about Sadguru."
1000035,Sat Mar 02 17:21:47 +0000 2019,Sign a Petition to Declare Narendra Modi as a Global Terrorist - Sign the Petition! https://t.co/NG3e857bay via @Change
1000036,Wed Feb 27 16:39:33 +0000 2019,"Barkha Dutt's criticism of Narendra Modi, evokes response from Saina Nehwal https://t.co/o7nP3vMiEA"
1000037,Thu Feb 28 10:36:51 +0000 2019,"Ratan Tata votes for Narendra Modi; says, Prime Minister capable of delivering New India https://t.co/b9d2rrDOVr"
1000038,Fri Mar 01 17:46:58 +0000 2019,"@pal_vidhu @Natsecjeff Dumb response. So you're saying CMs don't visit any other country? They do.
Little knowledge can result into humiliation. Read this article from Wall Street Journal https://t.co/cHnNU3JGq3"
1000039,Fri Feb 15 14:36:39 +0000 2019,"Prime Minister Narendra Modi has asked ministers in BJP governed states and BJP MPs to attend last rites of jawans, who lost their lives in #PulwamaAttack, in their respective states and constituencies. #PulwamaRevenge https://t.co/c2JHA64Sng"
1000040,Sun Mar 03 14:56:42 +0000 2019,"PM Modi asks seven 'aaj tak' questions at India Today Conclave
https://t.co/voIs2GJwY4

via NaMo App https://t.co/wwYVOl1AAq"
1000041,Mon Mar 04 07:39:08 +0000 2019,"Sankalp rally: This is New India, it does not remain silent on killings of its jawans, says PM Narendra Modi
https://t.co/XW0xPTpd1H

vi https://t.co/Q8wl7cIYDK"
1000042,Mon Mar 04 07:40:11 +0000 2019,"Dear Narendra Modi, I respect you a lot. But that was unbecoming of a prime minister to make such a crass comment on dyslexia. Please do not reduce serious issues to a joke."
1000043,Fri Mar 01 16:11:42 +0000 2019,United Nations: Declare Narendra Modi as International Terrorist - Sign the Petition! https://t.co/61SYQPNNzR via @Change
1000044,Sun Mar 03 15:20:44 +0000 2019,"PM Modi asks seven 'aaj tak' questions at India Today Conclave
https://t.co/bwBkglSdbu via NaMo App https://t.co/UHThUOxBPa"
