1000036,Fri Mar 01 12:52:08 +0000 2019,"what is your ip raga? 
nothing! all you look for is gaining political traction with every opportunity. but, it is coming out so foolishly, you are butt of a joke.

check this out from the times of india pm narendra modi can't leave aside his pr even for five minutes: rahul gandhi"
1000037,Fri Mar 01 14:28:30 +0000 2019,  your guess is wrong. he meant rahul gandhi and the entire upa gang of goons and thugs. ask your paki friends to share the news clips where they have aired  's statements and comments.
1000038,Wed Feb 27 17:22:35 +0000 2019,"rahul gandhi's words shameful rahul gandhi answering, by giving such a statement, is he not helping pakistan??"
1000039,Sat Mar 02 03:24:47 +0000 2019," who will next pm ? 

like for rahul gandhi 
retweet for modi"
1000040,Sat Mar 02 17:22:54 +0000 2019,"  
 
challenge rahul gandhi - destroy congress &amp; let pm modi win 400 seats
ask pm to debate rafale bofors varda - call jpc - pm is very sure to win such debate with 275 solid majority
why pm sweats it out running away  "
1000041,Fri Mar 01 06:44:28 +0000 2019, he is exactly like rahul gandhi
1000042,Sat Mar 02 04:01:50 +0000 2019,"  state level lo cong tho alliance vunte loss. national level lo congress tho alliance ki peddha opposition emi ledhu. as of today, rahul gandhi's approval ratings in ap is far higher than that of modi"
1000043,Fri Mar 01 05:33:42 +0000 2019," one of the close friend of imran khan and as a peace gesture
we will send kejriwal, rahul gandhi, hd devegowda to pakistan for 3 months..,"
1000044,Sun Mar 03 12:54:36 +0000 2019," our next pm , long live rahul gandhi"
1000045,Thu Feb 28 05:23:39 +0000 2019,rahul gandhi pls answer these idiots 
1000046,Sun Mar 03 04:39:00 +0000 2019,"  first see the facts then speak..have some logic in your statements, don't be a andh bhakt..what rahul gandhi spoke today is correct.."
1000047,Sun Mar 03 11:44:38 +0000 2019,"parivartanulgulanrally
congress president rahul gandhi addresses parivartan ulgulan rally in ranchi, jharkhand "
1000048,Thu Feb 28 18:35:30 +0000 2019,complete nonsense': rahul gandhi on ordinance to protect convicted netas 
1000049,Fri Mar 01 18:27:53 +0000 2019, today you welcome to abhinandan but pls see your history shocking!! hidden secret revealed; indian airlines pilot rajiv gandhi had to serve the nation during the 1971 indo-pak war but ran to italy like a coward with sonia and rahul 
1000050,Sat Mar 02 17:52:54 +0000 2019,"you mean to say rahul gandhi should speak against ""chiefs"" and provide walkover for modi. 
i think we should not underestimate the wisdom of our public. 
minority hatred will not make them blind towards national interest. 
they will kick modi in 2019. "
1000051,Fri Mar 01 13:20:45 +0000 2019,"mumbaicharahulgandhi live: congress president rahul gandhi addresses public meeting in mumbai, maharashtra. mumbaicharahulgandhi 
  "
1000052,Sun Mar 03 05:22:56 +0000 2019," yes, he should. rahul gandhi during all this skirmish is going kn ranting about pm chor hai, why are all modis chor. modi gave 300cr to ambani in rafale deal, cant he stfu?"
1000053,Mon Mar 04 10:56:18 +0000 2019,"  if i say, billu gadha hai,
i'm making fun of billu, not gadha.

similarly, when one says,
rahul gandhi is dyslexic, he/ she is making fun of rahul, not the dyslexics.


's statement would've been insensitive only if rahul gandhi had actually been dyslexic."
1000054,Thu Feb 28 03:11:44 +0000 2019,"fp is no friend of either pm modi or president trump. during respective elections - fp stood with rahul gandhi and hillary clinton. 

hence no surprise.. "
